client_timestamp,ask,bid,last,volume,vwap_today,num_trades_today,low_today,high_today
1683644288793,1843.17,1843.16,1843.16,11373.96722754,1843.59281,5303,1831.54,1858.47
1683644332729,1844.73,1844.63,1844.62,11427.17722193,1843.59134,5319,1831.54,1858.47
1683645857311,1842.84,1842.7,1841.56,11624.72180215,1843.59088,5521,1831.54,1858.47
1683645892177,1842.63,1842.59,1842.59,11636.8569634,1843.58986,5524,1831.54,1858.47
1683659548891,1845.94,1845.93,1845.94,15821.75981251,1844.45086,7567,1831.54,1860.19
1683663804820,1851.04,1851.03,1851,18107.72109751,1844.86633,8301,1831.54,1862.6
1683678728508,1851.47,1851.26,1851.02,339.82515734,1850.85516,243,1847.46,1856.62
1683692721571,1841.88,1841.81,1841.89,2063.12005714,1849.25462,1295,1841.74,1858.63
1683707144692,1838.16,1838.07,1837.94,4186.27428504,1844.56319,2351,1835.7,1858.63
1683721783338,1850.91,1850.54,1850.9,5077.80930454,1845.03563,3404,1835.21,1858.63
1683750433418,1856.48,1856.47,1856.7,33753.51775059,1848.66989,14898,1792.02,1888.97
1683765185957,1837.26,1836.92,1836.66,338.61200171,1838.87463,222,1833.49,1842.36
1683779099177,1826.38,1826.32,1826.4,2725.98903555,1831.75596,1798,1820.39,1842.36
